StoreID,ProductID,SnapshotDate,QuantityOnHand,ReorderLevel
S001,P0001,2026-08-17,72,20
S001,P0002,2026-08-17,14,12
S001,P0003,2026-08-17,140,29
S001,P0004,2026-08-17,97,12
S001,P0005,2026-08-17,102,18
S001,P0006,2026-08-17,45,17
S001,P0007,2026-08-17,102,12
S001,P0008,2026-08-17,5,16
S001,P0009,2026-08-17,41,22
S001,P0010,2026-08-17,103,19
S001,P0011,2026-08-17,39,13
S001,P0012,2026-08-17,76,25
S001,P0013,2026-08-17,110,19
S001,P0014,2026-08-17,33,21
S001,P0015,2026-08-17,24,21
S001,P0016,2026-08-17,131,16
S001,P0017,2026-08-17,125,24
S001,P0018,2026-08-17,99,25
S001,P0019,2026-08-17,68,28
S001,P0020,2026-08-17,108,12
S001,P0021,2026-08-17,108,21
S001,P0022,2026-08-17,47,23
S001,P0023,2026-08-17,109,12
S001,P0024,2026-08-17,10,26
S001,P0025,2026-08-17,87,24
S001,P0026,2026-08-17,57,30
S001,P0027,2026-08-17,39,25
S001,P0028,2026-08-17,134,30
S001,P0029,2026-08-17,134,12
S001,P0030,2026-08-17,74,24
S002,P0001,2026-08-17,111,12
S002,P0002,2026-08-17,122,19
S002,P0003,2026-08-17,38,14
S002,P0004,2026-08-17,76,17
S002,P0005,2026-08-17,133,23
S002,P0006,2026-08-17,75,28
S002,P0007,2026-08-17,12,27
S002,P0008,2026-08-17,19,11
S002,P0009,2026-08-17,131,13
S002,P0010,2026-08-17,130,23
S002,P0011,2026-08-17,105,13
S002,P0012,2026-08-17,118,28
S002,P0013,2026-08-17,64,21
S002,P0014,2026-08-17,65,28
S002,P0015,2026-08-17,20,26
S002,P0016,2026-08-17,4,13
S002,P0017,2026-08-17,118,15
S002,P0018,2026-08-17,46,22
S002,P0019,2026-08-17,11,12
S002,P0020,2026-08-17,106,19
S002,P0021,2026-08-17,80,28
S002,P0022,2026-08-17,116,24
S002,P0023,2026-08-17,67,20
S002,P0024,2026-08-17,47,16
S002,P0025,2026-08-17,47,12
S002,P0026,2026-08-17,66,13
S002,P0027,2026-08-17,111,27
S002,P0028,2026-08-17,4,10
S002,P0029,2026-08-17,101,13
S002,P0030,2026-08-17,3,15
S003,P0001,2026-08-17,122,24
S003,P0002,2026-08-17,103,29
S003,P0003,2026-08-17,124,19
S003,P0004,2026-08-17,92,22
S003,P0005,2026-08-17,77,12
S003,P0006,2026-08-17,32,14
S003,P0007,2026-08-17,3,16
S003,P0008,2026-08-17,28,10
S003,P0009,2026-08-17,48,10
S003,P0010,2026-08-17,53,25
S003,P0011,2026-08-17,37,30
S003,P0012,2026-08-17,61,23
S003,P0013,2026-08-17,137,16
S003,P0014,2026-08-17,22,19
S003,P0015,2026-08-17,118,14
S003,P0016,2026-08-17,121,23
S003,P0017,2026-08-17,5,13
S003,P0018,2026-08-17,42,14
S003,P0019,2026-08-17,113,25
S003,P0020,2026-08-17,120,10
S003,P0021,2026-08-17,115,28
S003,P0022,2026-08-17,62,16
S003,P0023,2026-08-17,75,28
S003,P0024,2026-08-17,100,11
S003,P0025,2026-08-17,85,10
S003,P0026,2026-08-17,26,30
S003,P0027,2026-08-17,110,23
S003,P0028,2026-08-17,126,28
S003,P0029,2026-08-17,141,19
S003,P0030,2026-08-17,9,25
S004,P0001,2026-08-17,102,25
S004,P0002,2026-08-17,131,28
S004,P0003,2026-08-17,124,17
S004,P0004,2026-08-17,15,26
S004,P0005,2026-08-17,4,23
S004,P0006,2026-08-17,147,20
S004,P0007,2026-08-17,141,12
S004,P0008,2026-08-17,68,30
S004,P0009,2026-08-17,106,25
S004,P0010,2026-08-17,29,25
S004,P0011,2026-08-17,88,24
S004,P0012,2026-08-17,111,10
S004,P0013,2026-08-17,41,19
S004,P0014,2026-08-17,49,25
S004,P0015,2026-08-17,88,24
S004,P0016,2026-08-17,59,26
S004,P0017,2026-08-17,56,28
S004,P0018,2026-08-17,86,29
S004,P0019,2026-08-17,119,14
S004,P0020,2026-08-17,75,22
S004,P0021,2026-08-17,106,30
S004,P0022,2026-08-17,92,25
S004,P0023,2026-08-17,41,29
S004,P0024,2026-08-17,53,19
S004,P0025,2026-08-17,22,25
S004,P0026,2026-08-17,33,15
S004,P0027,2026-08-17,51,15
S004,P0028,2026-08-17,125,13
S004,P0029,2026-08-17,106,25
S004,P0030,2026-08-17,77,17
S005,P0001,2026-08-17,53,27
S005,P0002,2026-08-17,12,10
S005,P0003,2026-08-17,91,18
S005,P0004,2026-08-17,91,15
S005,P0005,2026-08-17,44,26
S005,P0006,2026-08-17,8,12
S005,P0007,2026-08-17,86,23
S005,P0008,2026-08-17,29,29
S005,P0009,2026-08-17,58,13
S005,P0010,2026-08-17,143,17
S005,P0011,2026-08-17,124,18
S005,P0012,2026-08-17,87,21
S005,P0013,2026-08-17,11,27
S005,P0014,2026-08-17,68,14
S005,P0015,2026-08-17,131,29
S005,P0016,2026-08-17,26,11
S005,P0017,2026-08-17,112,24
S005,P0018,2026-08-17,28,13
S005,P0019,2026-08-17,26,27
S005,P0020,2026-08-17,10,26
S005,P0021,2026-08-17,26,15
S005,P0022,2026-08-17,30,16
S005,P0023,2026-08-17,92,15
S005,P0024,2026-08-17,74,24
S005,P0025,2026-08-17,129,25
S005,P0026,2026-08-17,25,14
S005,P0027,2026-08-17,93,20
S005,P0028,2026-08-17,35,13
S005,P0029,2026-08-17,51,24
S005,P0030,2026-08-17,106,10
