OrderItemID,OrderID,ProductID,Quantity,UnitPrice,DiscountAmount
OI0000001,O000001,P0028,4,430.5,172.2
OI0000002,O000001,P0026,5,350.83,87.71
OI0000003,O000001,P0008,3,465.81,0.0
OI0000004,O000001,P0013,3,502.9,75.43
OI0000005,O000002,P0030,4,889.5,0.0
OI0000006,O000003,P0006,1,655.37,0.0
OI0000007,O000003,P0007,4,814.45,162.89
OI0000008,O000003,P0009,4,737.96,0.0
OI0000009,O000003,P0016,1,202.55,0.0
OI0000010,O000004,P0025,1,232.46,0.0
OI0000011,O000005,P0022,1,391.32,0.0
OI0000012,O000005,P0015,3,896.75,0.0
OI0000013,O000005,P0020,5,260.13,0.0
OI0000014,O000005,P0025,2,232.97,0.0
OI0000015,O000006,P0013,2,458.19,0.0
OI0000016,O000006,P0004,3,807.95,242.39
OI0000017,O000006,P0026,1,345.66,34.57
OI0000018,O000006,P0026,1,322.82,16.14
OI0000019,O000007,P0028,4,449.21,0.0
OI0000020,O000008,P0006,5,729.21,0.0
OI0000021,O000008,P0020,5,253.06,63.27
OI0000022,O000008,P0014,5,811.68,0.0
OI0000023,O000008,P0027,1,87.74,4.39
OI0000024,O000009,P0011,1,534.45,0.0
OI0000025,O000009,P0006,4,650.34,0.0
OI0000026,O000009,P0011,3,566.21,0.0
OI0000027,O000009,P0018,1,751.71,0.0
OI0000028,O000010,P0023,4,87.93,17.59
OI0000029,O000010,P0015,1,807.45,0.0
OI0000030,O000011,P0016,5,196.01,49.0
OI0000031,O000011,P0024,5,327.13,81.78
OI0000032,O000011,P0009,3,737.86,0.0
OI0000033,O000012,P0007,2,867.45,0.0
OI0000034,O000012,P0024,5,360.51,180.25
OI0000035,O000013,P0006,3,629.62,188.89
OI0000036,O000013,P0005,3,884.27,0.0
OI0000037,O000013,P0018,3,772.57,0.0
OI0000038,O000014,P0016,4,190.3,0.0
OI0000039,O000014,P0009,4,721.65,0.0
OI0000040,O000014,P0013,4,458.04,0.0
OI0000041,O000014,P0005,2,996.25,0.0
OI0000042,O000015,P0020,5,253.66,0.0
OI0000043,O000015,P0025,5,213.42,53.35
OI0000044,O000015,P0010,5,157.34,0.0
OI0000045,O000015,P0019,5,701.45,0.0
OI0000046,O000016,P0006,2,646.33,0.0
OI0000047,O000017,P0010,1,140.26,0.0
OI0000048,O000017,P0023,4,80.32,0.0
OI0000049,O000017,P0030,3,915.94,274.78
OI0000050,O000017,P0022,2,383.04,76.61
OI0000051,O000018,P0003,1,330.92,0.0
OI0000052,O000018,P0020,5,258.54,64.64
OI0000053,O000019,P0017,5,487.39,0.0
OI0000054,O000019,P0020,1,257.35,0.0
OI0000055,O000019,P0020,3,225.09,0.0
OI0000056,O000020,P0019,1,782.8,0.0
OI0000057,O000020,P0016,5,199.63,0.0
OI0000058,O000020,P0006,5,673.77,168.44
