OrderID,CustomerID,StoreID,OrderDate,OrderStatus
O000001,C0001,S003,2026-05-04,Completed
O000002,C0060,S002,2025-06-19,Returned
O000003,C0083,S004,2025-03-27,Completed
O000004,C0029,S001,2025-12-25,Completed
O000005,C0080,S002,2025-01-21,Completed
O000006,C0040,S005,2025-01-27,Completed
O000007,C0009,S005,2026-01-15,Completed
O000008,C0047,S004,2026-03-20,Completed
O000009,C0097,S004,2025-09-07,Completed
O000010,C0031,S004,2025-03-29,Completed
O000011,C0089,S002,2026-02-19,Completed
O000012,C0041,S001,2025-07-17,Completed
O000013,C0013,S002,2025-10-17,Completed
O000014,C0014,S001,2026-05-18,Completed
O000015,C0032,S001,2025-03-29,Completed
O000016,C0081,S002,2025-08-01,Completed
O000017,C0001,S004,2025-06-10,Completed
O000018,C0083,S002,2025-08-19,Completed
O000019,C0060,S003,2025-05-08,Completed
O000020,C0076,S001,2026-08-13,Returned
O000021,C0061,S003,2025-04-04,Completed
O000022,C0033,S003,2025-11-19,Completed
O000023,C0071,S002,2025-10-01,Completed
O000024,C0064,S003,2025-06-07,Completed
O000025,C0036,S004,2025-03-13,Completed
O000026,C0043,S005,2025-12-20,Completed
O000027,C0065,S005,2025-05-10,Completed
O000028,C0093,S002,2025-01-16,Completed
O000029,C0087,S005,2025-12-03,Completed
O000030,C0057,S002,2025-04-13,Completed
O000031,C0048,S004,2026-01-03,Completed
O000032,C0037,S005,2026-04-22,Completed
O000033,C0090,S003,2025-10-30,Completed
O000034,C0081,S001,2025-04-10,Completed
O000035,C0033,S004,2025-06-18,Returned
O000036,C0012,S004,2026-01-10,Completed
O000037,C0082,S003,2026-01-26,Completed
O000038,C0090,S003,2026-04-21,Completed
O000039,C0015,S001,2026-05-20,Completed
O000040,C0084,S001,2026-03-01,Completed
O000041,C0012,S002,2026-04-11,Completed
O000042,C0027,S001,2026-08-02,Completed
O000043,C0036,S002,2025-01-03,Returned
O000044,C0017,S004,2025-02-23,Completed
O000045,C0058,S005,2025-04-22,Completed
O000046,C0062,S004,2025-03-04,Completed
O000047,C0078,S002,2025-11-26,Completed
O000048,C0093,S002,2026-07-19,Completed
O000049,C0048,S002,2025-09-19,Completed
O000050,C0046,S004,2026-02-25,Completed
